Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
AAPL,APPLE INC,Information Technology,Equity,"914,893,084.20",4.74,"914,893,084.20","3,769,646.00",242.70,United States,NASDAQ,USD,1.00,USD,-
NVDA,NVIDIA CORP,Information Technology,Equity,"849,401,322.79",4.40,"849,401,322.79","6,062,389.00",140.11,United States,NASDAQ,USD,1.00,USD,-
MSFT,MICROSOFT CORP,Information Technology,Equity,"740,220,784.56",3.84,"740,220,784.56","1,743,501.00",424.56,United States,NASDAQ,USD,1.00,USD,-
AMZN,AMAZON COM INC,Consumer Discretionary,Equity,"520,337,525.83",2.70,"520,337,525.83","2,342,491.00",222.13,United States,NASDAQ,USD,1.00,USD,-
META,META PLATFORMS INC CLASS A,Communication,Equity,"329,661,159.52",1.71,"329,661,159.52","539,791.00",610.72,United States,NASDAQ,USD,1.00,USD,-
GOOGL,ALPHABET INC CLASS A,Communication,Equity,"282,026,961.90",1.46,"282,026,961.90","1,454,122.00",193.95,United States,NASDAQ,USD,1.00,USD,-
TSLA,TESLA INC,Consumer Discretionary,Equity,"280,508,109.70",1.45,"280,508,109.70","710,255.00",394.94,United States,NASDAQ,USD,1.00,USD,-
AVGO,BROADCOM INC,Information Technology,Equity,"250,937,143.34",1.30,"250,937,143.34","1,094,314.00",229.31,United States,NASDAQ,USD,1.00,USD,-
GOOG,ALPHABET INC CLASS C,Communication,Equity,"241,183,945.08",1.25,"241,183,945.08","1,234,372.00",195.39,United States,NASDAQ,USD,1.00,USD,-
2330,TAIWAN SEMICONDUCTOR MANUFACTURING,Information Technology,Equity,"202,491,464.99",1.05,"202,491,464.99","6,066,000.00",33.38,Taiwan,Taiwan Stock Exchange,USD,32.95,TWD,"Nov 10, 1994"
JPM,JPMORGAN CHASE & CO,Financials,Equity,"172,935,208.31",0.90,"172,935,208.31","711,287.00",243.13,United States,New York Stock Exchange Inc.,USD,1.00,USD,-
LLY,ELI LILLY,Health Care,Equity,"157,257,428.86",0.82,"157,257,428.86","199,763.00",787.22,United States,New York Stock Exchange Inc.,USD,1.00,USD,-
BRKB,BERKSHIRE HATHAWAY INC CLASS B,Financials,Equity,"147,499,101.44",0.76,"147,499,101.44","326,441.00",451.84,United States,New York Stock Exchange Inc.,USD,1.00,USD,-
V,VISA INC CLASS A,Financials,Equity,"128,858,409.00",0.67,"128,858,409.00","412,215.00",312.60,United States,New York Stock Exchange Inc.,USD,1.00,USD,-
UNH,UNITEDHEALTH GROUP INC,Health Care,Equity,"119,532,338.28",0.62,"119,532,338.28","227,889.00",524.52,United States,New York Stock Exchange Inc.,USD,1.00,USD,-
XOM,EXXON MOBIL CORP,Energy,Equity,"117,016,706.90",0.61,"117,016,706.90","1,094,330.00",106.93,United States,New York Stock Exchange Inc.,USD,1.00,USD,-
MA,MASTERCARD INC CLASS A,Financials,Equity,"104,481,662.80",0.54,"104,481,662.80","202,327.00",516.40,United States,New York Stock Exchange Inc.,USD,1.00,USD,-
COST,COSTCO WHOLESALE CORP,Consumer Staples,Equity,"101,682,411.02",0.53,"101,682,411.02","109,646.00",927.37,United States,NASDAQ,USD,1.00,USD,-
WMT,WALMART INC,Consumer Staples,Equity,"100,298,017.80",0.52,"100,298,017.80","1,092,571.00",91.80,United States,New York Stock Exchange Inc.,USD,1.00,USD,-
HD,HOME DEPOT INC,Consumer Discretionary,Equity,"95,078,121.60",0.49,"95,078,121.60","245,553.00",387.20,United States,New York Stock Exchange Inc.,USD,1.00,USD,-
PG,PROCTER & GAMBLE,Consumer Staples,Equity,"93,582,761.50",0.49,"93,582,761.50","577,315.00",162.10,United States,New York Stock Exchange Inc.,USD,1.00,USD,-
NFLX,NETFLIX INC,Communication,Equity,"93,002,000.00",0.48,"93,002,000.00","106,288.00",875.00,United States,NASDAQ,USD,1.00,USD,-
JNJ,JOHNSON & JOHNSON,Health Care,Equity,"84,162,237.09",0.44,"84,162,237.09","591,567.00",142.27,United States,New York Stock Exchange Inc.,USD,1.00,USD,-
BAC,BANK OF AMERICA CORP,Financials,Equity,"80,430,676.87",0.42,"80,430,676.87","1,740,547.00",46.21,United States,New York Stock Exchange Inc.,USD,1.00,USD,-
ABBV,ABBVIE INC,Health Care,Equity,"77,975,047.50",0.40,"77,975,047.50","436,835.00",178.50,United States,New York Stock Exchange Inc.,USD,1.00,USD,-
700,TENCENT HOLDINGS LTD,Communication,Equity,"77,494,899.55",0.40,"77,494,899.55","1,615,200.00",47.98,China,Hong Kong Exchanges And Clearing Ltd,USD,7.78,HKD,-
CRM,SALESFORCE INC,Information Technology,Equity,"77,318,388.00",0.40,"77,318,388.00","236,520.00",326.90,United States,New York Stock Exchange Inc.,USD,1.00,USD,-
ASML,ASML HOLDING NV,Information Technology,Equity,"74,634,865.44",0.39,"74,634,865.44","98,739.00",755.88,Netherlands,Euronext Amsterdam,USD,0.97,EUR,-
NOVO B,NOVO NORDISK CLASS B,Health Care,Equity,"69,504,729.56",0.36,"69,504,729.56","799,172.00",86.97,Denmark,Omx Nordic Exchange Copenhagen A/S,USD,7.24,DKK,-
ORCL,ORACLE CORP,Information Technology,Equity,"66,802,404.06",0.35,"66,802,404.06","409,479.00",163.14,United States,New York Stock Exchange Inc.,USD,1.00,USD,-
SAP,SAP,Information Technology,Equity,"65,104,367.25",0.34,"65,104,367.25","257,847.00",252.49,Germany,Xetra,USD,0.97,EUR,-
CVX,CHEVRON CORP,Energy,Equity,"64,284,813.00",0.33,"64,284,813.00","427,710.00",150.30,United States,New York Stock Exchange Inc.,USD,1.00,USD,-
MRK,MERCK & CO INC,Health Care,Equity,"62,427,218.50",0.32,"62,427,218.50","625,210.00",99.85,United States,New York Stock Exchange Inc.,USD,1.00,USD,-
KO,COCA-COLA,Consumer Staples,Equity,"62,048,726.19",0.32,"62,048,726.19","1,005,489.00",61.71,United States,New York Stock Exchange Inc.,USD,1.00,USD,-
WFC,WELLS FARGO,Financials,Equity,"60,244,119.07",0.31,"60,244,119.07","841,751.00",71.57,United States,New York Stock Exchange Inc.,USD,1.00,USD,-
CSCO,CISCO SYSTEMS INC,Information Technology,Equity,"58,355,156.80",0.30,"58,355,156.80","985,729.00",59.20,United States,NASDAQ,USD,1.00,USD,-
ACN,ACCENTURE PLC CLASS A,Information Technology,Equity,"55,116,892.02",0.29,"55,116,892.02","154,074.00",357.73,United States,New York Stock Exchange Inc.,USD,1.00,USD,-
NOW,SERVICENOW INC,Information Technology,Equity,"53,787,380.68",0.28,"53,787,380.68","51,271.00","1,049.08",United States,New York Stock Exchange Inc.,USD,1.00,USD,-
NESN,NESTLE SA,Consumer Staples,Equity,"53,178,272.78",0.28,"53,178,272.78","645,721.00",82.35,Switzerland,SIX Swiss Exchange,USD,0.91,CHF,-
ROG,ROCHE HOLDING PAR AG,Health Care,Equity,"51,860,566.35",0.27,"51,860,566.35","174,042.00",297.98,Switzerland,SIX Swiss Exchange,USD,0.91,CHF,-
TMO,THERMO FISHER SCIENTIFIC INC,Health Care,Equity,"51,456,105.11",0.27,"51,456,105.11","94,427.00",544.93,United States,New York Stock Exchange Inc.,USD,1.00,USD,-
AZN,ASTRAZENECA PLC,Health Care,Equity,"50,935,369.48",0.26,"50,935,369.48","376,797.00",135.18,United Kingdom,London Stock Exchange,USD,0.81,GBP,-
MCD,MCDONALDS CORP,Consumer Discretionary,Equity,"50,491,531.00",0.26,"50,491,531.00","175,990.00",286.90,United States,New York Stock Exchange Inc.,USD,1.00,USD,-
IBM,INTERNATIONAL BUSINESS MACHINES CO,Information Technology,Equity,"50,407,211.62",0.26,"50,407,211.62","225,859.00",223.18,United States,New York Stock Exchange Inc.,USD,1.00,USD,-
LIN,LINDE PLC,Materials,Equity,"49,483,478.15",0.26,"49,483,478.15","117,815.00",420.01,United States,NASDAQ,USD,1.00,USD,-
SHEL,SHELL PLC,Energy,Equity,"49,473,534.29",0.26,"49,473,534.29","1,538,711.00",32.15,United Kingdom,London Stock Exchange,USD,0.81,GBP,-
NOVN,NOVARTIS AG,Health Care,Equity,"49,174,457.01",0.25,"49,174,457.01","489,464.00",100.47,Switzerland,SIX Swiss Exchange,USD,0.91,CHF,-
PEP,PEPSICO INC,Consumer Staples,Equity,"49,127,828.08",0.25,"49,127,828.08","335,252.00",146.54,United States,NASDAQ,USD,1.00,USD,-
DIS,WALT DISNEY,Communication,Equity,"49,022,438.08",0.25,"49,022,438.08","446,633.00",109.76,United States,New York Stock Exchange Inc.,USD,1.00,USD,-
AMD,ADVANCED MICRO DEVICES INC,Information Technology,Equity,"48,769,993.36",0.25,"48,769,993.36","400,279.00",121.84,United States,NASDAQ,USD,1.00,USD,-
ABT,ABBOTT LABORATORIES,Health Care,Equity,"48,723,969.00",0.25,"48,723,969.00","426,468.00",114.25,United States,New York Stock Exchange Inc.,USD,1.00,USD,-
7203,TOYOTA MOTOR CORP,Consumer Discretionary,Equity,"48,154,185.79",0.25,"48,154,185.79","2,531,500.00",19.02,Japan,Tokyo Stock Exchange,USD,157.98,JPY,-
ISRG,INTUITIVE SURGICAL INC,Health Care,Equity,"47,929,794.06",0.25,"47,929,794.06","88,103.00",544.02,United States,NASDAQ,USD,1.00,USD,-
GE,GE AEROSPACE,Industrials,Equity,"46,716,952.68",0.24,"46,716,952.68","270,212.00",172.89,United States,New York Stock Exchange Inc.,USD,1.00,USD,-
PM,PHILIP MORRIS INTERNATIONAL INC,Consumer Staples,Equity,"46,480,084.92",0.24,"46,480,084.92","381,422.00",121.86,United States,New York Stock Exchange Inc.,USD,1.00,USD,-
GS,GOLDMAN SACHS GROUP INC,Financials,Equity,"45,640,613.76",0.24,"45,640,613.76","78,688.00",580.02,United States,New York Stock Exchange Inc.,USD,1.00,USD,-
ADBE,ADOBE INC,Information Technology,Equity,"45,583,171.20",0.24,"45,583,171.20","108,640.00",419.58,United States,NASDAQ,USD,1.00,USD,-
MC,LVMH,Consumer Discretionary,Equity,"44,975,263.35",0.23,"44,975,263.35","67,388.00",667.41,France,Nyse Euronext - Euronext Paris,USD,0.97,EUR,-
5930,SAMSUNG ELECTRONICS LTD,Information Technology,Equity,"44,786,131.93",0.23,"44,786,131.93","1,166,076.00",38.41,Korea (South),Korea Exchange (Stock Market),USD,"1,460.65",KRW,-
HSBA,HSBC HOLDINGS PLC,Financials,Equity,"44,576,768.05",0.23,"44,576,768.05","4,515,129.00",9.87,United Kingdom,London Stock Exchange,USD,0.81,GBP,"Jan 01, 1998"
QCOM,QUALCOMM INC,Information Technology,Equity,"43,903,216.56",0.23,"43,903,216.56","275,982.00",159.08,United States,NASDAQ,USD,1.00,USD,-
CAT,CATERPILLAR INC,Industrials,Equity,"43,418,667.50",0.23,"43,418,667.50","120,250.00",361.07,United States,New York Stock Exchange Inc.,USD,1.00,USD,-
AXP,AMERICAN EXPRESS,Financials,Equity,"43,258,488.30",0.22,"43,258,488.30","142,838.00",302.85,United States,New York Stock Exchange Inc.,USD,1.00,USD,-
INTU,INTUIT INC,Information Technology,Equity,"43,244,403.75",0.22,"43,244,403.75","69,075.00",626.05,United States,NASDAQ,USD,1.00,USD,-
TXN,TEXAS INSTRUMENT INC,Information Technology,Equity,"42,921,107.04",0.22,"42,921,107.04","223,944.00",191.66,United States,NASDAQ,USD,1.00,USD,-
RY,ROYAL BANK OF CANADA,Financials,Equity,"42,284,151.54",0.22,"42,284,151.54","348,983.00",121.16,Canada,Toronto Stock Exchange,USD,1.44,CAD,-
9988,ALIBABA GROUP HOLDING LTD,Consumer Discretionary,Equity,"41,620,965.30",0.22,"41,620,965.30","4,018,876.00",10.36,China,Hong Kong Exchanges And Clearing Ltd,USD,7.78,HKD,-
BKNG,BOOKING HOLDINGS INC,Consumer Discretionary,Equity,"40,684,707.00",0.21,"40,684,707.00","8,350.00","4,872.42",United States,NASDAQ,USD,1.00,USD,-
CBA,COMMONWEALTH BANK OF AUSTRALIA,Financials,Equity,"40,395,122.65",0.21,"40,395,122.65","410,842.00",98.32,Australia,Asx - All Markets,USD,1.61,AUD,-
VZ,VERIZON COMMUNICATIONS INC,Communication,Equity,"40,359,557.70",0.21,"40,359,557.70","1,036,455.00",38.94,United States,New York Stock Exchange Inc.,USD,1.00,USD,-
SPGI,S&P GLOBAL INC,Financials,Equity,"39,190,295.10",0.20,"39,190,295.10","79,035.00",495.86,United States,New York Stock Exchange Inc.,USD,1.00,USD,-
T,AT&T INC,Communication,Equity,"38,946,616.12",0.20,"38,946,616.12","1,755,934.00",22.18,United States,New York Stock Exchange Inc.,USD,1.00,USD,-
MS,MORGAN STANLEY,Financials,Equity,"38,636,095.50",0.20,"38,636,095.50","302,175.00",127.86,United States,New York Stock Exchange Inc.,USD,1.00,USD,-
DHR,DANAHER CORP,Health Care,Equity,"38,247,729.96",0.20,"38,247,729.96","160,644.00",238.09,United States,New York Stock Exchange Inc.,USD,1.00,USD,-
RTX,RTX CORP,Industrials,Equity,"38,139,650.64",0.20,"38,139,650.64","329,017.00",115.92,United States,New York Stock Exchange Inc.,USD,1.00,USD,-
SIE,SIEMENS N AG,Industrials,Equity,"37,917,934.71",0.20,"37,917,934.71","187,260.00",202.49,Germany,Xetra,USD,0.97,EUR,-
PFE,PFIZER INC,Health Care,Equity,"37,786,809.16",0.20,"37,786,809.16","1,406,806.00",26.86,United States,New York Stock Exchange Inc.,USD,1.00,USD,-
BLK,BLACKROCK INC,Financials,Equity,"36,201,703.20",0.19,"36,201,703.20","36,712.00",986.10,United States,New York Stock Exchange Inc.,USD,1.00,USD,-
AMAT,APPLIED MATERIAL INC,Information Technology,Equity,"36,096,933.51",0.19,"36,096,933.51","203,949.00",176.99,United States,NASDAQ,USD,1.00,USD,-
NEE,NEXTERA ENERGY INC,Utilities,Equity,"35,777,843.08",0.19,"35,777,843.08","506,338.00",70.66,United States,New York Stock Exchange Inc.,USD,1.00,USD,-
BSX,BOSTON SCIENTIFIC CORP,Health Care,Equity,"35,521,169.75",0.18,"35,521,169.75","370,205.00",95.95,United States,New York Stock Exchange Inc.,USD,1.00,USD,-
HON,HONEYWELL INTERNATIONAL INC,Industrials,Equity,"35,476,432.44",0.18,"35,476,432.44","161,132.00",220.17,United States,NASDAQ,USD,1.00,USD,-
CMCSA,COMCAST CORP CLASS A,Communication,Equity,"35,389,891.53",0.18,"35,389,891.53","952,109.00",37.17,United States,NASDAQ,USD,1.00,USD,-
SU,SCHNEIDER ELECTRIC,Industrials,Equity,"35,029,792.59",0.18,"35,029,792.59","133,064.00",263.26,France,Nyse Euronext - Euronext Paris,USD,0.97,EUR,-
AMGN,AMGEN INC,Health Care,Equity,"34,968,986.13",0.18,"34,968,986.13","132,353.00",264.21,United States,NASDAQ,USD,1.00,USD,-
PGR,PROGRESSIVE CORP,Financials,Equity,"34,900,357.25",0.18,"34,900,357.25","143,275.00",243.59,United States,New York Stock Exchange Inc.,USD,1.00,USD,-
LOW,LOWES COMPANIES INC,Consumer Discretionary,Equity,"34,801,367.51",0.18,"34,801,367.51","140,959.00",246.89,United States,New York Stock Exchange Inc.,USD,1.00,USD,-
C,CITIGROUP INC,Financials,Equity,"34,563,188.88",0.18,"34,563,188.88","471,788.00",73.26,United States,New York Stock Exchange Inc.,USD,1.00,USD,-
UNP,UNION PACIFIC CORP,Industrials,Equity,"34,541,875.46",0.18,"34,541,875.46","149,003.00",231.82,United States,New York Stock Exchange Inc.,USD,1.00,USD,-
ULVR,UNILEVER PLC,Consumer Staples,Equity,"34,458,169.07",0.18,"34,458,169.07","611,285.00",56.37,United Kingdom,London Stock Exchange,USD,0.81,GBP,-
PLTR,PALANTIR TECHNOLOGIES INC CLASS A,Information Technology,Equity,"34,298,879.85",0.18,"34,298,879.85","502,695.00",68.23,United States,NASDAQ,USD,1.00,USD,-
ETN,EATON PLC,Industrials,Equity,"34,204,887.43",0.18,"34,204,887.43","99,113.00",345.11,United States,New York Stock Exchange Inc.,USD,1.00,USD,-
TJX,TJX INC,Consumer Discretionary,Equity,"33,926,603.55",0.18,"33,926,603.55","278,887.00",121.65,United States,New York Stock Exchange Inc.,USD,1.00,USD,-
COP,CONOCOPHILLIPS,Energy,Equity,"32,898,458.80",0.17,"32,898,458.80","323,740.00",101.62,United States,New York Stock Exchange Inc.,USD,1.00,USD,-
8306,MITSUBISHI UFJ FINANCIAL GROUP INC,Financials,Equity,"32,883,046.37",0.17,"32,883,046.37","2,709,100.00",12.14,Japan,Tokyo Stock Exchange,USD,157.98,JPY,-
SHOP,SHOPIFY SUBORDINATE VOTING INC CLA,Information Technology,Equity,"32,427,995.97",0.17,"32,427,995.97","300,384.00",107.96,Canada,Toronto Stock Exchange,USD,1.44,CAD,-
6758,SONY GROUP CORP,Consumer Discretionary,Equity,"31,596,512.11",0.16,"31,596,512.11","1,538,200.00",20.54,Japan,Tokyo Stock Exchange,USD,157.98,JPY,-
SYK,STRYKER CORP,Health Care,Equity,"31,099,601.50",0.16,"31,099,601.50","85,415.00",364.10,United States,New York Stock Exchange Inc.,USD,1.00,USD,-
TTE,TOTALENERGIES,Energy,Equity,"30,977,869.70",0.16,"30,977,869.70","543,889.00",56.96,France,Nyse Euronext - Euronext Paris,USD,0.97,EUR,-
BA,BOEING,Industrials,Equity,"30,956,648.32",0.16,"30,956,648.32","180,232.00",171.76,United States,New York Stock Exchange Inc.,USD,1.00,USD,-
BX,BLACKSTONE INC,Financials,Equity,"30,685,350.51",0.16,"30,685,350.51","176,383.00",173.97,United States,New York Stock Exchange Inc.,USD,1.00,USD,-
ANET,ARISTA NETWORKS INC,Information Technology,Equity,"30,622,163.04",0.16,"30,622,163.04","265,104.00",115.51,United States,New York Stock Exchange Inc.,USD,1.00,USD,-
UBER,UBER TECHNOLOGIES INC,Industrials,Equity,"30,294,989.93",0.16,"30,294,989.93","466,723.00",64.91,United States,New York Stock Exchange Inc.,USD,1.00,USD,-
BHP,BHP GROUP LTD,Materials,Equity,"30,293,655.29",0.16,"30,293,655.29","1,245,833.00",24.32,Australia,Asx - All Markets,USD,1.61,AUD,-
ALV,ALLIANZ,Financials,Equity,"29,949,693.58",0.16,"29,949,693.58","96,768.00",309.50,Germany,Xetra,USD,0.97,EUR,-
FI,FISERV INC,Financials,Equity,"29,692,060.71",0.15,"29,692,060.71","144,677.00",205.23,United States,New York Stock Exchange Inc.,USD,1.00,USD,-
ADP,AUTOMATIC DATA PROCESSING INC,Industrials,Equity,"29,461,917.15",0.15,"29,461,917.15","100,935.00",291.89,United States,NASDAQ,USD,1.00,USD,-
SCHW,CHARLES SCHWAB CORP,Financials,Equity,"28,833,540.00",0.15,"28,833,540.00","394,980.00",73.00,United States,New York Stock Exchange Inc.,USD,1.00,USD,-
BMY,BRISTOL MYERS SQUIBB,Health Care,Equity,"28,435,279.73",0.15,"28,435,279.73","500,533.00",56.81,United States,New York Stock Exchange Inc.,USD,1.00,USD,-
6501,HITACHI LTD,Industrials,Equity,"28,253,180.57",0.15,"28,253,180.57","1,141,800.00",24.74,Japan,Tokyo Stock Exchange,USD,157.98,JPY,-
TMUS,T MOBILE US INC,Communication,Equity,"28,230,749.28",0.15,"28,230,749.28","130,989.00",215.52,United States,NASDAQ,USD,1.00,USD,-
PANW,PALO ALTO NETWORKS INC,Information Technology,Equity,"27,847,752.24",0.14,"27,847,752.24","161,128.00",172.83,United States,NASDAQ,USD,1.00,USD,-
GILD,GILEAD SCIENCES INC,Health Care,Equity,"27,666,114.38",0.14,"27,666,114.38","310,367.00",89.14,United States,NASDAQ,USD,1.00,USD,-
UBSG,UBS GROUP AG,Financials,Equity,"27,638,414.69",0.14,"27,638,414.69","830,108.00",33.29,Switzerland,SIX Swiss Exchange,USD,0.91,CHF,-
ADI,ANALOG DEVICES INC,Information Technology,Equity,"27,525,901.92",0.14,"27,525,901.92","124,868.00",220.44,United States,NASDAQ,USD,1.00,USD,-
SAN,SANOFI SA,Health Care,Equity,"27,429,485.55",0.14,"27,429,485.55","276,551.00",99.18,France,Nyse Euronext - Euronext Paris,USD,0.97,EUR,-
MU,MICRON TECHNOLOGY INC,Information Technology,Equity,"27,328,902.51",0.14,"27,328,902.51","274,911.00",99.41,United States,NASDAQ,USD,1.00,USD,-
HDFCBANK,HDFC BANK LTD,Financials,Equity,"27,064,385.93",0.14,"27,064,385.93","1,393,454.00",19.42,India,National Stock Exchange Of India,USD,85.87,INR,-
VRTX,VERTEX PHARMACEUTICALS INC,Health Care,Equity,"26,428,614.30",0.14,"26,428,614.30","64,130.00",412.11,United States,NASDAQ,USD,1.00,USD,-
MDT,MEDTRONIC PLC,Health Care,Equity,"26,172,932.76",0.14,"26,172,932.76","316,557.00",82.68,United States,New York Stock Exchange Inc.,USD,1.00,USD,-
DE,DEERE,Industrials,Equity,"26,159,230.00",0.14,"26,159,230.00","63,803.00",410.00,United States,New York Stock Exchange Inc.,USD,1.00,USD,-
DTE,DEUTSCHE TELEKOM N AG,Communication,Equity,"26,027,578.95",0.13,"26,027,578.95","863,661.00",30.14,Germany,Xetra,USD,0.97,EUR,-
SBUX,STARBUCKS CORP,Consumer Discretionary,Equity,"25,918,554.80",0.13,"25,918,554.80","279,898.00",92.60,United States,NASDAQ,USD,1.00,USD,-
MRVL,MARVELL TECHNOLOGY INC,Information Technology,Equity,"25,503,984.45",0.13,"25,503,984.45","215,715.00",118.23,United States,NASDAQ,USD,1.00,USD,-
6098,RECRUIT HOLDINGS LTD,Industrials,Equity,"25,245,374.27",0.13,"25,245,374.27","357,200.00",70.68,Japan,Tokyo Stock Exchange,USD,157.98,JPY,-
CB,CHUBB LTD,Financials,Equity,"25,106,964.05",0.13,"25,106,964.05","94,157.00",266.65,United States,New York Stock Exchange Inc.,USD,1.00,USD,-
MMC,MARSH & MCLENNAN INC,Financials,Equity,"25,036,309.65",0.13,"25,036,309.65","118,459.00",211.35,United States,New York Stock Exchange Inc.,USD,1.00,USD,-
LMT,LOCKHEED MARTIN CORP,Industrials,Equity,"24,822,325.55",0.13,"24,822,325.55","52,943.00",468.85,United States,New York Stock Exchange Inc.,USD,1.00,USD,-
LRCX,LAM RESEARCH CORP,Information Technology,Equity,"24,715,356.48",0.13,"24,715,356.48","320,812.00",77.04,United States,NASDAQ,USD,1.00,USD,-
GEV,GE VERNOVA INC,Industrials,Equity,"24,682,428.00",0.13,"24,682,428.00","67,350.00",366.48,United States,New York Stock Exchange Inc.,USD,1.00,USD,-
PLD,PROLOGIS REIT INC,Real Estate,Equity,"24,018,235.50",0.12,"24,018,235.50","227,661.00",105.50,United States,New York Stock Exchange Inc.,USD,1.00,USD,-
ENB,ENBRIDGE INC,Energy,Equity,"23,326,663.10",0.12,"23,326,663.10","533,247.00",43.74,Canada,Toronto Stock Exchange,USD,1.44,CAD,-
TD,TORONTO DOMINION,Financials,Equity,"23,311,847.38",0.12,"23,311,847.38","430,468.00",54.15,Canada,Toronto Stock Exchange,USD,1.44,CAD,-
XTSLA,BLK CSH FND TREASURY SL AGENCY,Cash and/or Derivatives,Money Market,"23,040,000.00",0.12,"23,040,000.00","23,040,000.00",1.00,United States,-,USD,1.00,USD,-
KKR,KKR AND CO INC,Financials,Equity,"23,026,563.92",0.12,"23,026,563.92","155,333.00",148.24,United States,New York Stock Exchange Inc.,USD,1.00,USD,-
AIR,AIRBUS GROUP,Industrials,Equity,"22,835,932.52",0.12,"22,835,932.52","141,601.00",161.27,France,Nyse Euronext - Euronext Paris,USD,0.97,EUR,-
3690,MEITUAN,Consumer Discretionary,Equity,"22,730,988.55",0.12,"22,730,988.55","1,225,120.00",18.55,China,Hong Kong Exchanges And Clearing Ltd,USD,7.78,HKD,-
KLAC,KLA CORP,Information Technology,Equity,"22,715,964.80",0.12,"22,715,964.80","33,104.00",686.20,United States,NASDAQ,USD,1.00,USD,-
UPS,UNITED PARCEL SERVICE INC CLASS B,Industrials,Equity,"22,623,617.76",0.12,"22,623,617.76","178,476.00",126.76,United States,New York Stock Exchange Inc.,USD,1.00,USD,-
8316,SUMITOMO MITSUI FINANCIAL GROUP IN,Financials,Equity,"22,569,647.10",0.12,"22,569,647.10","928,500.00",24.31,Japan,Tokyo Stock Exchange,USD,157.98,JPY,-
AI,LAIR LIQUIDE SOCIETE ANONYME POUR,Materials,Equity,"22,413,865.89",0.12,"22,413,865.89","137,439.00",163.08,France,Nyse Euronext - Euronext Paris,USD,0.97,EUR,-
REL,RELX PLC,Industrials,Equity,"22,196,873.42",0.12,"22,196,873.42","474,056.00",46.82,United Kingdom,London Stock Exchange,USD,0.81,GBP,-
EQIX,EQUINIX REIT INC,Real Estate,Equity,"22,154,476.80",0.11,"22,154,476.80","23,295.00",951.04,United States,NASDAQ,USD,1.00,USD,-
SO,SOUTHERN,Utilities,Equity,"22,077,010.48",0.11,"22,077,010.48","265,924.00",83.02,United States,New York Stock Exchange Inc.,USD,1.00,USD,-
BP.,BP PLC,Energy,Equity,"21,967,923.65",0.11,"21,967,923.65","4,224,384.00",5.20,United Kingdom,London Stock Exchange,USD,0.81,GBP,-
MO,ALTRIA GROUP INC,Consumer Staples,Equity,"21,924,493.49",0.11,"21,924,493.49","425,801.00",51.49,United States,New York Stock Exchange Inc.,USD,1.00,USD,-
ELV,ELEVANCE HEALTH INC,Health Care,Equity,"21,839,314.64",0.11,"21,839,314.64","56,986.00",383.24,United States,New York Stock Exchange Inc.,USD,1.00,USD,-
TT,TRANE TECHNOLOGIES PLC,Industrials,Equity,"21,784,148.10",0.11,"21,784,148.10","56,421.00",386.10,United States,New York Stock Exchange Inc.,USD,1.00,USD,-
RELIANCE,RELIANCE INDUSTRIES LTD,Energy,Equity,"21,712,251.02",0.11,"21,712,251.02","1,485,888.00",14.61,India,National Stock Exchange Of India,USD,85.87,INR,-
IBE,IBERDROLA SA,Utilities,Equity,"21,712,751.30",0.11,"21,712,751.30","1,534,306.00",14.15,Spain,Bolsa De Madrid,USD,0.97,EUR,-
CSL,CSL LTD,Health Care,Equity,"21,621,796.38",0.11,"21,621,796.38","121,436.00",178.05,Australia,Asx - All Markets,USD,1.61,AUD,-
APH,AMPHENOL CORP CLASS A,Information Technology,Equity,"21,542,463.47",0.11,"21,542,463.47","299,909.00",71.83,United States,New York Stock Exchange Inc.,USD,1.00,USD,-
ABBN,ABB LTD,Industrials,Equity,"21,530,022.21",0.11,"21,530,022.21","393,008.00",54.78,Switzerland,SIX Swiss Exchange,USD,0.91,CHF,-
ZURN,ZURICH INSURANCE GROUP AG,Financials,Equity,"21,212,826.84",0.11,"21,212,826.84","35,832.00",592.01,Switzerland,SIX Swiss Exchange,USD,0.91,CHF,-
PYPL,PAYPAL HOLDINGS INC,Financials,Equity,"21,176,479.64",0.11,"21,176,479.64","240,806.00",87.94,United States,NASDAQ,USD,1.00,USD,-
INTC,INTEL CORPORATION CORP,Information Technology,Equity,"20,831,894.16",0.11,"20,831,894.16","1,047,882.00",19.88,United States,NASDAQ,USD,1.00,USD,-
AMT,AMERICAN TOWER REIT CORP,Real Estate,Equity,"20,767,045.86",0.11,"20,767,045.86","115,894.00",179.19,United States,New York Stock Exchange Inc.,USD,1.00,USD,-
NKE,NIKE INC CLASS B,Consumer Discretionary,Equity,"20,766,349.26",0.11,"20,766,349.26","291,294.00",71.29,United States,New York Stock Exchange Inc.,USD,1.00,USD,-
ICE,INTERCONTINENTAL EXCHANGE INC,Financials,Equity,"20,637,349.14",0.11,"20,637,349.14","140,802.00",146.57,United States,New York Stock Exchange Inc.,USD,1.00,USD,-
CDNS,CADENCE DESIGN SYSTEMS INC,Information Technology,Equity,"20,594,116.44",0.11,"20,594,116.44","68,028.00",302.73,United States,NASDAQ,USD,1.00,USD,-
