Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
JMT,JERONIMO MARTINS SA,Consumer Staples,Equity,"1,411,540.14",0.01,"1,411,540.14","74,605.00",18.92,Portugal,Nyse Euronext - Euronext Lisbon,USD,0.97,EUR,-
DCC,DCC PLC,Industrials,Equity,"1,413,154.59",0.01,"1,413,154.59","22,326.00",63.30,United Kingdom,London Stock Exchange,USD,0.81,GBP,-
285,BYD ELECTRONIC (INTERNATIONAL) LTD,Information Technology,Equity,"1,402,417.56",0.01,"1,402,417.56","268,500.00",5.22,China,Hong Kong Exchanges And Clearing Ltd,USD,7.78,HKD,-
MKS,MARKS AND SPENCER GROUP PLC,Consumer Staples,Equity,"1,398,352.93",0.01,"1,398,352.93","329,175.00",4.25,United Kingdom,London Stock Exchange,USD,0.81,GBP,-
MGR,MIRVAC GROUP STAPLED UNITS,Real Estate,Equity,"1,395,492.98",0.01,"1,395,492.98","1,201,975.00",1.16,Australia,Asx - All Markets,USD,1.61,AUD,-
6724,SEIKO EPSON CORP,Information Technology,Equity,"1,392,802.66",0.01,"1,392,802.66","82,100.00",16.96,Japan,Tokyo Stock Exchange,USD,157.98,JPY,-
WTB,WHITBREAD PLC,Consumer Discretionary,Equity,"1,391,484.10",0.01,"1,391,484.10","39,002.00",35.68,United Kingdom,London Stock Exchange,USD,0.81,GBP,-
3888,KINGSOFT LTD,Communication,Equity,"1,391,499.04",0.01,"1,391,499.04","335,800.00",4.14,China,Hong Kong Exchanges And Clearing Ltd,USD,7.78,HKD,-
5411,JFE HOLDINGS INC,Materials,Equity,"1,391,584.11",0.01,"1,391,584.11","125,800.00",11.06,Japan,Tokyo Stock Exchange,USD,157.98,JPY,-
GET,GETLINK,Industrials,Equity,"1,390,034.65",0.01,"1,390,034.65","88,732.00",15.67,France,Nyse Euronext - Euronext Paris,USD,0.97,EUR,-
BPCL,BHARAT PETROLEUM LTD,Energy,Equity,"1,384,530.93",0.01,"1,384,530.93","424,603.00",3.26,India,National Stock Exchange Of India,USD,85.87,INR,-
ONEX,ONEX CORP,Financials,Equity,"1,386,087.02",0.01,"1,386,087.02","17,206.00",80.56,Canada,Toronto Stock Exchange,USD,1.44,CAD,-
LEG,LEG IMMOBILIEN N,Real Estate,Equity,"1,383,512.10",0.01,"1,383,512.10","17,391.00",79.55,Germany,Xetra,USD,0.97,EUR,-
2912,PRESIDENT CHAIN STORE CORP,Consumer Staples,Equity,"1,380,775.36",0.01,"1,380,775.36","175,000.00",7.89,Taiwan,Taiwan Stock Exchange,USD,32.95,TWD,-
PIDILITIND,PIDILITE INDUSTRIES LTD,Materials,Equity,"1,379,917.69",0.01,"1,379,917.69","40,055.00",34.45,India,National Stock Exchange Of India,USD,85.87,INR,-
SOBI,SWEDISH ORPHAN BIOVITRUM,Health Care,Equity,"1,377,805.27",0.01,"1,377,805.27","48,029.00",28.69,Sweden,Nasdaq Omx Nordic,USD,11.15,SEK,-
QAN,QANTAS AIRWAYS LTD,Industrials,Equity,"1,373,600.73",0.01,"1,373,600.73","240,341.00",5.72,Australia,Asx - All Markets,USD,1.61,AUD,-
VCX,VICINITY CENTRES,Real Estate,Equity,"1,371,195.76",0.01,"1,371,195.76","1,034,796.00",1.33,Australia,Asx - All Markets,USD,1.61,AUD,-
836,CHINA RESOURCES POWER LTD,Utilities,Equity,"1,369,847.03",0.01,"1,369,847.03","612,000.00",2.24,China,Hong Kong Exchanges And Clearing Ltd,USD,7.78,HKD,-
BKG,BERKELEY GROUP HOLDINGS (THE) PLC,Consumer Discretionary,Equity,"1,367,548.29",0.01,"1,367,548.29","30,223.00",45.25,United Kingdom,London Stock Exchange,USD,0.81,GBP,-
APA,APA GROUP UNITS,Utilities,Equity,"1,365,136.25",0.01,"1,365,136.25","318,595.00",4.28,Australia,Asx - All Markets,USD,1.61,AUD,-
ICICIGI,ICICI LOMBARD GENERAL INSURANCE CO,Financials,Equity,"1,366,907.28",0.01,"1,366,907.28","62,161.00",21.99,India,National Stock Exchange Of India,USD,85.87,INR,-
7550,ZENSHO HOLDINGS LTD,Consumer Discretionary,Equity,"1,361,861.05",0.01,"1,361,861.05","24,800.00",54.91,Japan,Tokyo Stock Exchange,USD,157.98,JPY,-
NESTE,NESTE,Energy,Equity,"1,359,414.87",0.01,"1,359,414.87","103,887.00",13.09,Finland,Nasdaq Omx Helsinki Ltd.,USD,0.97,EUR,-
3017,ASIA VITAL COMPONENTS LTD,Information Technology,Equity,"1,358,682.95",0.01,"1,358,682.95","78,000.00",17.42,Taiwan,Taiwan Stock Exchange,USD,32.95,TWD,-
7735,SCREEN HOLDINGS LTD,Information Technology,Equity,"1,355,689.19",0.01,"1,355,689.19","21,100.00",64.25,Japan,Tokyo Stock Exchange,USD,157.98,JPY,-
ORDS,OOREDOO,Communication,Equity,"1,356,102.35",0.01,"1,356,102.35","406,719.00",3.33,Qatar,Qatar Exchange,USD,3.64,QAR,-
4768,OTSUKA CORP,Information Technology,Equity,"1,353,854.72",0.01,"1,353,854.72","61,600.00",21.98,Japan,Tokyo Stock Exchange,USD,157.98,JPY,-
SIGN,SIG GROUP N AG,Materials,Equity,"1,354,289.54",0.01,"1,354,289.54","68,935.00",19.65,Switzerland,SIX Swiss Exchange,USD,0.91,CHF,-
SQM.B,SOCIEDAD QUIMICA Y MINERA DE CHILE,Materials,Equity,"1,352,382.50",0.01,"1,352,382.50","35,338.00",38.27,Chile,Santiago Stock Exchange,USD,"1,008.63",CLP,-
